id,user_id,amount,transaction_type,reference_id,reference_type,status,remark,created_at,updated_at
4596026,68578,20.0,1,4283821,cash_point,1,Successful ZUDIMBV##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:27,2026-01-01T03:10:27
4596027,48167,5.0,1,4283822,cash_point,1,Successful ZUDIMBV##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:27,2026-01-01T03:10:27
4596028,68578,20.0,1,4283823,cash_point,1,Successful QYPUYTP##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:27,2026-01-01T03:10:27
4596029,48167,5.0,1,4283824,cash_point,1,Successful QYPUYTP##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:28,2026-01-01T03:10:28
4596030,68578,20.0,1,4283825,cash_point,1,Successful CSCXQFD##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:29,2026-01-01T03:10:29
4596031,48167,5.0,1,4283826,cash_point,1,Successful CSCXQFD##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:29,2026-01-01T03:10:29
4596032,68578,20.0,1,4283827,cash_point,1,Successful DVQUBQX##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:29,2026-01-01T03:10:29
4596033,48167,5.0,1,4283828,cash_point,1,Successful DVQUBQX##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:29,2026-01-01T03:10:29
4596034,68578,20.0,1,4283829,cash_point,1,Successful ARYGAFJ##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:30,2026-01-01T03:10:30
4596035,48167,5.0,1,4283830,cash_point,1,Successful ARYGAFJ##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:30,2026-01-01T03:10:30
4596036,68578,20.0,1,4283831,cash_point,1,Successful HLJIWUV##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:31,2026-01-01T03:10:31
4596037,48167,5.0,1,4283832,cash_point,1,Successful HLJIWUV##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:31,2026-01-01T03:10:31
4596038,68578,20.0,1,4283833,cash_point,1,Successful QPCIUCB##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:32,2026-01-01T03:10:32
4596039,48167,5.0,1,4283834,cash_point,1,Successful QPCIUCB##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:32,2026-01-01T03:10:32
4596040,68578,20.0,1,4283835,cash_point,1,Successful AGLTYIH##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:33,2026-01-01T03:10:33
4596041,48167,5.0,1,4283836,cash_point,1,Successful AGLTYIH##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:33,2026-01-01T03:10:33
4596042,68578,20.0,1,4283837,cash_point,1,Successful DRDGWDJ##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:33,2026-01-01T03:10:33
4596043,48167,5.0,1,4283838,cash_point,1,Successful DRDGWDJ##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:33,2026-01-01T03:10:33
4596044,68578,20.0,1,4283839,cash_point,1,Successful RAEPJKL##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:34,2026-01-01T03:10:34
4596045,48167,5.0,1,4283840,cash_point,1,Successful RAEPJKL##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:34,2026-01-01T03:10:34
4596046,68578,20.0,1,4283841,cash_point,1,Successful BWKXFFO##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:34,2026-01-01T03:10:34
4596047,48167,5.0,1,4283842,cash_point,1,Successful BWKXFFO##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:35,2026-01-01T03:10:35
4596048,68578,20.0,1,4283843,cash_point,1,Successful CQWSKST##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:35,2026-01-01T03:10:35
